Tissue,PMP,Total_Count,Total_Tissue_Count,VRF
cfDNA,r:10035:10044:10081:`001,0,3962133,0.0
cfDNA,r:10035:10044:10081:`010,0,3962133,0.0
cfDNA,r:10035:10044:10081:`011,0,3962133,0.0
cfDNA,r:10035:10044:10081:`100,0,3962133,0.0
cfDNA,r:10035:10044:10081:`101,0,3962133,0.0
cfDNA,r:10035:10044:10081:`110,0,3962133,0.0
cfDNA,r:10035:10044:10081:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10044:10088:`000,1047,3962133,0.0002642516038709453
cfDNA,r:10035:10044:10088:`001,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10044:10088:`010,0,3962133,0.0
cfDNA,r:10035:10044:10088:`011,0,3962133,0.0
cfDNA,r:10035:10044:10088:`100,0,3962133,0.0
cfDNA,r:10035:10044:10088:`101,0,3962133,0.0
cfDNA,r:10035:10044:10088:`110,0,3962133,0.0
cfDNA,r:10035:10044:10088:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10044:10096:`000,1056,3962133,0.0002665231076291482
cfDNA,r:10035:10044:10096:`001,0,3962133,0.0
cfDNA,r:10035:10044:10096:`010,0,3962133,0.0
cfDNA,r:10035:10044:10096:`011,0,3962133,0.0
cfDNA,r:10035:10044:10096:`100,0,3962133,0.0
cfDNA,r:10035:10044:10096:`101,0,3962133,0.0
cfDNA,r:10035:10044:10096:`110,0,3962133,0.0
cfDNA,r:10035:10044:10096:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10044:10102:`000,1054,3962133,0.00026601832901621426
cfDNA,r:10035:10044:10102:`001,0,3962133,0.0
cfDNA,r:10035:10044:10102:`010,0,3962133,0.0
cfDNA,r:10035:10044:10102:`011,0,3962133,0.0
cfDNA,r:10035:10044:10102:`100,0,3962133,0.0
cfDNA,r:10035:10044:10102:`101,0,3962133,0.0
cfDNA,r:10035:10044:10102:`110,0,3962133,0.0
cfDNA,r:10035:10044:10102:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10044:10109:`000,1005,3962133,0.0002536512529993314
cfDNA,r:10035:10044:10109:`001,49,3962133,1.2367076016882825e-05
cfDNA,r:10035:10044:10109:`010,0,3962133,0.0
cfDNA,r:10035:10044:10109:`011,0,3962133,0.0
cfDNA,r:10035:10044:10109:`100,0,3962133,0.0
cfDNA,r:10035:10044:10109:`101,0,3962133,0.0
cfDNA,r:10035:10044:10109:`110,0,3962133,0.0
cfDNA,r:10035:10044:10109:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10044:10111:`000,1055,3962133,0.00026627071832268127
cfDNA,r:10035:10044:10111:`001,0,3962133,0.0
cfDNA,r:10035:10044:10111:`010,0,3962133,0.0
cfDNA,r:10035:10044:10111:`011,0,3962133,0.0
cfDNA,r:10035:10044:10111:`100,0,3962133,0.0
cfDNA,r:10035:10044:10111:`101,0,3962133,0.0
cfDNA,r:10035:10044:10111:`110,0,3962133,0.0
cfDNA,r:10035:10044:10111:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10044:10118:`000,955,3962133,0.0002410317876759816
cfDNA,r:10035:10044:10118:`001,0,3962133,0.0
cfDNA,r:10035:10044:10118:`010,0,3962133,0.0
cfDNA,r:10035:10044:10118:`011,0,3962133,0.0
cfDNA,r:10035:10044:10118:`100,0,3962133,0.0
cfDNA,r:10035:10044:10118:`101,0,3962133,0.0
cfDNA,r:10035:10044:10118:`110,0,3962133,0.0
cfDNA,r:10035:10044:10118:`111,2,3962133,5.047786129339929e-07
cfDNA,r:10035:10044:10121:`000,907,3962133,0.00022891710096556577
cfDNA,r:10035:10044:10121:`001,0,3962133,0.0
cfDNA,r:10035:10044:10121:`010,0,3962133,0.0
cfDNA,r:10035:10044:10121:`011,0,3962133,0.0
cfDNA,r:10035:10044:10121:`100,0,3962133,0.0
cfDNA,r:10035:10044:10121:`101,0,3962133,0.0
cfDNA,r:10035:10044:10121:`110,0,3962133,0.0
cfDNA,r:10035:10044:10121:`111,2,3962133,5.047786129339929e-07
cfDNA,r:10035:10044:10130:`000,797,3962133,0.00020115427725419616
cfDNA,r:10035:10044:10130:`001,0,3962133,0.0
cfDNA,r:10035:10044:10130:`010,0,3962133,0.0
cfDNA,r:10035:10044:10130:`011,0,3962133,0.0
cfDNA,r:10035:10044:10130:`100,0,3962133,0.0
cfDNA,r:10035:10044:10130:`101,0,3962133,0.0
cfDNA,r:10035:10044:10130:`110,0,3962133,0.0
cfDNA,r:10035:10044:10130:`111,0,3962133,0.0
cfDNA,r:10035:10044:10133:`000,764,3962133,0.00019282543014078528
cfDNA,r:10035:10044:10133:`001,32,3962133,8.076457806943886e-06
cfDNA,r:10035:10044:10133:`010,0,3962133,0.0
cfDNA,r:10035:10044:10133:`011,0,3962133,0.0
cfDNA,r:10035:10044:10133:`100,0,3962133,0.0
cfDNA,r:10035:10044:10133:`101,0,3962133,0.0
cfDNA,r:10035:10044:10133:`110,0,3962133,0.0
cfDNA,r:10035:10044:10133:`111,0,3962133,0.0
cfDNA,r:10035:10044:10140:`000,620,3962133,0.0001564813700095378
cfDNA,r:10035:10044:10140:`001,0,3962133,0.0
cfDNA,r:10035:10044:10140:`010,0,3962133,0.0
cfDNA,r:10035:10044:10140:`011,0,3962133,0.0
cfDNA,r:10035:10044:10140:`100,0,3962133,0.0
cfDNA,r:10035:10044:10140:`101,0,3962133,0.0
cfDNA,r:10035:10044:10140:`110,0,3962133,0.0
cfDNA,r:10035:10044:10140:`111,0,3962133,0.0
cfDNA,r:10035:10044:10146:`000,450,3962133,0.0001135751879101484
cfDNA,r:10035:10044:10146:`001,0,3962133,0.0
cfDNA,r:10035:10044:10146:`010,0,3962133,0.0
cfDNA,r:10035:10044:10146:`011,0,3962133,0.0
cfDNA,r:10035:10044:10146:`100,0,3962133,0.0
cfDNA,r:10035:10044:10146:`101,0,3962133,0.0
cfDNA,r:10035:10044:10146:`110,0,3962133,0.0
cfDNA,r:10035:10044:10146:`111,0,3962133,0.0
cfDNA,r:10035:10044:10150:`000,450,3962133,0.0001135751879101484
cfDNA,r:10035:10044:10150:`001,0,3962133,0.0
cfDNA,r:10035:10044:10150:`010,0,3962133,0.0
cfDNA,r:10035:10044:10150:`011,0,3962133,0.0
cfDNA,r:10035:10044:10150:`100,0,3962133,0.0
cfDNA,r:10035:10044:10150:`101,0,3962133,0.0
cfDNA,r:10035:10044:10150:`110,0,3962133,0.0
cfDNA,r:10035:10044:10150:`111,0,3962133,0.0
cfDNA,r:10035:10044:10159:`000,364,3962133,9.18697075539867e-05
cfDNA,r:10035:10044:10159:`001,0,3962133,0.0
cfDNA,r:10035:10044:10159:`010,0,3962133,0.0
cfDNA,r:10035:10044:10159:`011,0,3962133,0.0
cfDNA,r:10035:10044:10159:`100,0,3962133,0.0
cfDNA,r:10035:10044:10159:`101,0,3962133,0.0
cfDNA,r:10035:10044:10159:`110,0,3962133,0.0
cfDNA,r:10035:10044:10159:`111,0,3962133,0.0
cfDNA,r:10035:10044:10162:`000,332,3962133,8.379324974704282e-05
cfDNA,r:10035:10044:10162:`001,0,3962133,0.0
cfDNA,r:10035:10044:10162:`010,0,3962133,0.0
cfDNA,r:10035:10044:10162:`011,0,3962133,0.0
cfDNA,r:10035:10044:10162:`100,0,3962133,0.0
cfDNA,r:10035:10044:10162:`101,0,3962133,0.0
cfDNA,r:10035:10044:10162:`110,0,3962133,0.0
cfDNA,r:10035:10044:10162:`111,0,3962133,0.0
cfDNA,r:10035:10044:10179:`000,94,3962133,2.3724594807897664e-05
cfDNA,r:10035:10044:10179:`001,0,3962133,0.0
cfDNA,r:10035:10044:10179:`010,0,3962133,0.0
cfDNA,r:10035:10044:10179:`011,0,3962133,0.0
cfDNA,r:10035:10044:10179:`100,0,3962133,0.0
cfDNA,r:10035:10044:10179:`101,0,3962133,0.0
cfDNA,r:10035:10044:10179:`110,0,3962133,0.0
cfDNA,r:10035:10044:10179:`111,0,3962133,0.0
cfDNA,r:10035:10046:10053:`000,1076,3962133,0.0002715708937584882
cfDNA,r:10035:10046:10053:`001,0,3962133,0.0
cfDNA,r:10035:10046:10053:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10053:`011,0,3962133,0.0
cfDNA,r:10035:10046:10053:`100,0,3962133,0.0
cfDNA,r:10035:10046:10053:`101,0,3962133,0.0
cfDNA,r:10035:10046:10053:`110,0,3962133,0.0
cfDNA,r:10035:10046:10053:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10046:10058:`000,1059,3962133,0.0002672802755485492
cfDNA,r:10035:10046:10058:`001,17,3962133,4.29061820993894e-06
cfDNA,r:10035:10046:10058:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10058:`011,0,3962133,0.0
cfDNA,r:10035:10046:10058:`100,0,3962133,0.0
cfDNA,r:10035:10046:10058:`101,0,3962133,0.0
cfDNA,r:10035:10046:10058:`110,0,3962133,0.0
cfDNA,r:10035:10046:10058:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10046:10071:`000,1062,3962133,0.00026803744346795024
cfDNA,r:10035:10046:10071:`001,14,3962133,3.5334502905379502e-06
cfDNA,r:10035:10046:10071:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10071:`011,0,3962133,0.0
cfDNA,r:10035:10046:10071:`100,0,3962133,0.0
cfDNA,r:10035:10046:10071:`101,0,3962133,0.0
cfDNA,r:10035:10046:10071:`110,0,3962133,0.0
cfDNA,r:10035:10046:10071:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10046:10075:`000,1076,3962133,0.0002715708937584882
cfDNA,r:10035:10046:10075:`001,0,3962133,0.0
cfDNA,r:10035:10046:10075:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10075:`011,0,3962133,0.0
cfDNA,r:10035:10046:10075:`100,0,3962133,0.0
cfDNA,r:10035:10046:10075:`101,0,3962133,0.0
cfDNA,r:10035:10046:10075:`110,0,3962133,0.0
cfDNA,r:10035:10046:10075:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10046:10081:`000,1076,3962133,0.0002715708937584882
cfDNA,r:10035:10046:10081:`001,0,3962133,0.0
cfDNA,r:10035:10046:10081:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10081:`011,0,3962133,0.0
cfDNA,r:10035:10046:10081:`100,0,3962133,0.0
cfDNA,r:10035:10046:10081:`101,0,3962133,0.0
cfDNA,r:10035:10046:10081:`110,0,3962133,0.0
cfDNA,r:10035:10046:10081:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10046:10088:`000,1046,3962133,0.0002639992145644783
cfDNA,r:10035:10046:10088:`001,0,3962133,0.0
cfDNA,r:10035:10046:10088:`010,0,3962133,0.0
cfDNA,r:10035:10046:10088:`011,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10088:`100,0,3962133,0.0
cfDNA,r:10035:10046:10088:`101,0,3962133,0.0
cfDNA,r:10035:10046:10088:`110,0,3962133,0.0
cfDNA,r:10035:10046:10088:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10046:10096:`000,1046,3962133,0.0002639992145644783
cfDNA,r:10035:10046:10096:`001,0,3962133,0.0
cfDNA,r:10035:10046:10096:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10096:`011,0,3962133,0.0
cfDNA,r:10035:10046:10096:`100,0,3962133,0.0
cfDNA,r:10035:10046:10096:`101,0,3962133,0.0
cfDNA,r:10035:10046:10096:`110,0,3962133,0.0
cfDNA,r:10035:10046:10096:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10046:10102:`000,1044,3962133,0.00026349443595154425
cfDNA,r:10035:10046:10102:`001,0,3962133,0.0
cfDNA,r:10035:10046:10102:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10102:`011,0,3962133,0.0
cfDNA,r:10035:10046:10102:`100,0,3962133,0.0
cfDNA,r:10035:10046:10102:`101,0,3962133,0.0
cfDNA,r:10035:10046:10102:`110,0,3962133,0.0
cfDNA,r:10035:10046:10102:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10046:10109:`000,995,3962133,0.00025112735993466147
cfDNA,r:10035:10046:10109:`001,49,3962133,1.2367076016882825e-05
cfDNA,r:10035:10046:10109:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10109:`011,0,3962133,0.0
cfDNA,r:10035:10046:10109:`100,0,3962133,0.0
cfDNA,r:10035:10046:10109:`101,0,3962133,0.0
cfDNA,r:10035:10046:10109:`110,0,3962133,0.0
cfDNA,r:10035:10046:10109:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10046:10111:`000,1045,3962133,0.00026374682525801127
cfDNA,r:10035:10046:10111:`001,0,3962133,0.0
cfDNA,r:10035:10046:10111:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10111:`011,0,3962133,0.0
cfDNA,r:10035:10046:10111:`100,0,3962133,0.0
cfDNA,r:10035:10046:10111:`101,0,3962133,0.0
cfDNA,r:10035:10046:10111:`110,0,3962133,0.0
cfDNA,r:10035:10046:10111:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10046:10118:`000,945,3962133,0.00023850789461131162
cfDNA,r:10035:10046:10118:`001,0,3962133,0.0
cfDNA,r:10035:10046:10118:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10118:`011,0,3962133,0.0
cfDNA,r:10035:10046:10118:`100,0,3962133,0.0
cfDNA,r:10035:10046:10118:`101,0,3962133,0.0
cfDNA,r:10035:10046:10118:`110,0,3962133,0.0
cfDNA,r:10035:10046:10118:`111,2,3962133,5.047786129339929e-07
cfDNA,r:10035:10046:10121:`000,897,3962133,0.0002263932079008958
cfDNA,r:10035:10046:10121:`001,0,3962133,0.0
cfDNA,r:10035:10046:10121:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10121:`011,0,3962133,0.0
cfDNA,r:10035:10046:10121:`100,0,3962133,0.0
cfDNA,r:10035:10046:10121:`101,0,3962133,0.0
cfDNA,r:10035:10046:10121:`110,0,3962133,0.0
cfDNA,r:10035:10046:10121:`111,2,3962133,5.047786129339929e-07
cfDNA,r:10035:10046:10130:`000,787,3962133,0.0001986303841895262
cfDNA,r:10035:10046:10130:`001,0,3962133,0.0
cfDNA,r:10035:10046:10130:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10130:`011,0,3962133,0.0
cfDNA,r:10035:10046:10130:`100,0,3962133,0.0
cfDNA,r:10035:10046:10130:`101,0,3962133,0.0
cfDNA,r:10035:10046:10130:`110,0,3962133,0.0
cfDNA,r:10035:10046:10130:`111,0,3962133,0.0
cfDNA,r:10035:10046:10133:`000,754,3962133,0.0001903015370761153
cfDNA,r:10035:10046:10133:`001,32,3962133,8.076457806943886e-06
cfDNA,r:10035:10046:10133:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10133:`011,0,3962133,0.0
cfDNA,r:10035:10046:10133:`100,0,3962133,0.0
cfDNA,r:10035:10046:10133:`101,0,3962133,0.0
cfDNA,r:10035:10046:10133:`110,0,3962133,0.0
cfDNA,r:10035:10046:10133:`111,0,3962133,0.0
cfDNA,r:10035:10046:10140:`000,611,3962133,0.00015420986625133484
cfDNA,r:10035:10046:10140:`001,0,3962133,0.0
cfDNA,r:10035:10046:10140:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10140:`011,0,3962133,0.0
cfDNA,r:10035:10046:10140:`100,0,3962133,0.0
cfDNA,r:10035:10046:10140:`101,0,3962133,0.0
cfDNA,r:10035:10046:10140:`110,0,3962133,0.0
cfDNA,r:10035:10046:10140:`111,0,3962133,0.0
cfDNA,r:10035:10046:10146:`000,441,3962133,0.00011130368415194542
cfDNA,r:10035:10046:10146:`001,0,3962133,0.0
cfDNA,r:10035:10046:10146:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10146:`011,0,3962133,0.0
cfDNA,r:10035:10046:10146:`100,0,3962133,0.0
cfDNA,r:10035:10046:10146:`101,0,3962133,0.0
cfDNA,r:10035:10046:10146:`110,0,3962133,0.0
cfDNA,r:10035:10046:10146:`111,0,3962133,0.0
cfDNA,r:10035:10046:10150:`000,441,3962133,0.00011130368415194542
cfDNA,r:10035:10046:10150:`001,0,3962133,0.0
cfDNA,r:10035:10046:10150:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10150:`011,0,3962133,0.0
cfDNA,r:10035:10046:10150:`100,0,3962133,0.0
cfDNA,r:10035:10046:10150:`101,0,3962133,0.0
cfDNA,r:10035:10046:10150:`110,0,3962133,0.0
cfDNA,r:10035:10046:10150:`111,0,3962133,0.0
cfDNA,r:10035:10046:10159:`000,355,3962133,8.959820379578373e-05
cfDNA,r:10035:10046:10159:`001,0,3962133,0.0
cfDNA,r:10035:10046:10159:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10159:`011,0,3962133,0.0
cfDNA,r:10035:10046:10159:`100,0,3962133,0.0
cfDNA,r:10035:10046:10159:`101,0,3962133,0.0
cfDNA,r:10035:10046:10159:`110,0,3962133,0.0
cfDNA,r:10035:10046:10159:`111,0,3962133,0.0
cfDNA,r:10035:10046:10162:`000,323,3962133,8.152174598883985e-05
cfDNA,r:10035:10046:10162:`001,0,3962133,0.0
cfDNA,r:10035:10046:10162:`010,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10046:10162:`011,0,3962133,0.0
cfDNA,r:10035:10046:10162:`100,0,3962133,0.0
cfDNA,r:10035:10046:10162:`101,0,3962133,0.0
cfDNA,r:10035:10046:10162:`110,0,3962133,0.0
cfDNA,r:10035:10046:10162:`111,0,3962133,0.0
cfDNA,r:10035:10046:10179:`000,94,3962133,2.3724594807897664e-05
cfDNA,r:10035:10046:10179:`001,0,3962133,0.0
cfDNA,r:10035:10046:10179:`010,0,3962133,0.0
cfDNA,r:10035:10046:10179:`011,0,3962133,0.0
cfDNA,r:10035:10046:10179:`100,0,3962133,0.0
cfDNA,r:10035:10046:10179:`101,0,3962133,0.0
cfDNA,r:10035:10046:10179:`110,0,3962133,0.0
cfDNA,r:10035:10046:10179:`111,0,3962133,0.0
cfDNA,r:10035:10053:10058:`000,1069,3962133,0.0002698041686132192
cfDNA,r:10035:10053:10058:`001,17,3962133,4.29061820993894e-06
cfDNA,r:10035:10053:10058:`010,0,3962133,0.0
cfDNA,r:10035:10053:10058:`011,0,3962133,0.0
cfDNA,r:10035:10053:10058:`100,0,3962133,0.0
cfDNA,r:10035:10053:10058:`101,0,3962133,0.0
cfDNA,r:10035:10053:10058:`110,0,3962133,0.0
cfDNA,r:10035:10053:10058:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10053:10071:`000,1072,3962133,0.0002705613365326202
cfDNA,r:10035:10053:10071:`001,14,3962133,3.5334502905379502e-06
cfDNA,r:10035:10053:10071:`010,0,3962133,0.0
cfDNA,r:10035:10053:10071:`011,0,3962133,0.0
cfDNA,r:10035:10053:10071:`100,0,3962133,0.0
cfDNA,r:10035:10053:10071:`101,0,3962133,0.0
cfDNA,r:10035:10053:10071:`110,0,3962133,0.0
cfDNA,r:10035:10053:10071:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10053:10075:`000,1086,3962133,0.0002740947868231581
cfDNA,r:10035:10053:10075:`001,0,3962133,0.0
cfDNA,r:10035:10053:10075:`010,0,3962133,0.0
cfDNA,r:10035:10053:10075:`011,0,3962133,0.0
cfDNA,r:10035:10053:10075:`100,0,3962133,0.0
cfDNA,r:10035:10053:10075:`101,0,3962133,0.0
cfDNA,r:10035:10053:10075:`110,0,3962133,0.0
cfDNA,r:10035:10053:10075:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10053:10081:`000,1086,3962133,0.0002740947868231581
cfDNA,r:10035:10053:10081:`001,0,3962133,0.0
cfDNA,r:10035:10053:10081:`010,0,3962133,0.0
cfDNA,r:10035:10053:10081:`011,0,3962133,0.0
cfDNA,r:10035:10053:10081:`100,0,3962133,0.0
cfDNA,r:10035:10053:10081:`101,0,3962133,0.0
cfDNA,r:10035:10053:10081:`110,0,3962133,0.0
cfDNA,r:10035:10053:10081:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10053:10088:`000,1047,3962133,0.0002642516038709453
cfDNA,r:10035:10053:10088:`001,9,3962133,2.2715037582029678e-06
cfDNA,r:10035:10053:10088:`010,0,3962133,0.0
cfDNA,r:10035:10053:10088:`011,0,3962133,0.0
cfDNA,r:10035:10053:10088:`100,0,3962133,0.0
cfDNA,r:10035:10053:10088:`101,0,3962133,0.0
cfDNA,r:10035:10053:10088:`110,0,3962133,0.0
cfDNA,r:10035:10053:10088:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10053:10096:`000,1056,3962133,0.0002665231076291482
cfDNA,r:10035:10053:10096:`001,0,3962133,0.0
cfDNA,r:10035:10053:10096:`010,0,3962133,0.0
cfDNA,r:10035:10053:10096:`011,0,3962133,0.0
cfDNA,r:10035:10053:10096:`100,0,3962133,0.0
cfDNA,r:10035:10053:10096:`101,0,3962133,0.0
cfDNA,r:10035:10053:10096:`110,0,3962133,0.0
cfDNA,r:10035:10053:10096:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10053:10102:`000,1054,3962133,0.00026601832901621426
cfDNA,r:10035:10053:10102:`001,0,3962133,0.0
cfDNA,r:10035:10053:10102:`010,0,3962133,0.0
cfDNA,r:10035:10053:10102:`011,0,3962133,0.0
cfDNA,r:10035:10053:10102:`100,0,3962133,0.0
cfDNA,r:10035:10053:10102:`101,0,3962133,0.0
cfDNA,r:10035:10053:10102:`110,0,3962133,0.0
cfDNA,r:10035:10053:10102:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10053:10109:`000,1005,3962133,0.0002536512529993314
cfDNA,r:10035:10053:10109:`001,49,3962133,1.2367076016882825e-05
cfDNA,r:10035:10053:10109:`010,0,3962133,0.0
cfDNA,r:10035:10053:10109:`011,0,3962133,0.0
cfDNA,r:10035:10053:10109:`100,0,3962133,0.0
cfDNA,r:10035:10053:10109:`101,0,3962133,0.0
cfDNA,r:10035:10053:10109:`110,0,3962133,0.0
cfDNA,r:10035:10053:10109:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10053:10111:`000,1055,3962133,0.00026627071832268127
cfDNA,r:10035:10053:10111:`001,0,3962133,0.0
cfDNA,r:10035:10053:10111:`010,0,3962133,0.0
cfDNA,r:10035:10053:10111:`011,0,3962133,0.0
cfDNA,r:10035:10053:10111:`100,0,3962133,0.0
cfDNA,r:10035:10053:10111:`101,0,3962133,0.0
cfDNA,r:10035:10053:10111:`110,0,3962133,0.0
cfDNA,r:10035:10053:10111:`111,4,3962133,1.0095572258679858e-06
cfDNA,r:10035:10053:10118:`000,955,3962133,0.0002410317876759816
cfDNA,r:10035:10053:10118:`001,0,3962133,0.0
cfDNA,r:10035:10053:10118:`010,0,3962133,0.0
cfDNA,r:10035:10053:10118:`011,0,3962133,0.0
cfDNA,r:10035:10053:10118:`100,0,3962133,0.0
cfDNA,r:10035:10053:10118:`101,0,3962133,0.0
cfDNA,r:10035:10053:10118:`110,0,3962133,0.0
cfDNA,r:10035:10053:10118:`111,2,3962133,5.047786129339929e-07
cfDNA,r:10035:10053:10121:`000,907,3962133,0.00022891710096556577
cfDNA,r:10035:10053:10121:`001,0,3962133,0.0
cfDNA,r:10035:10053:10121:`010,0,3962133,0.0
cfDNA,r:10035:10053:10121:`011,0,3962133,0.0
cfDNA,r:10035:10053:10121:`100,0,3962133,0.0
cfDNA,r:10035:10053:10121:`101,0,3962133,0.0
cfDNA,r:10035:10053:10121:`110,0,3962133,0.0
cfDNA,r:10035:10053:10121:`111,2,3962133,5.047786129339929e-07
cfDNA,r:10035:10053:10130:`000,797,3962133,0.00020115427725419616
cfDNA,r:10035:10053:10130:`001,0,3962133,0.0
cfDNA,r:10035:10053:10130:`010,0,3962133,0.0
cfDNA,r:10035:10053:10130:`011,0,3962133,0.0
cfDNA,r:10035:10053:10130:`100,0,3962133,0.0
cfDNA,r:10035:10053:10130:`101,0,3962133,0.0
cfDNA,r:10035:10053:10130:`110,0,3962133,0.0
cfDNA,r:10035:10053:10130:`111,0,3962133,0.0
cfDNA,r:10035:10053:10133:`000,764,3962133,0.00019282543014078528
cfDNA,r:10035:10053:10133:`001,32,3962133,8.076457806943886e-06
cfDNA,r:10035:10053:10133:`010,0,3962133,0.0
cfDNA,r:10035:10053:10133:`011,0,3962133,0.0
cfDNA,r:10035:10053:10133:`100,0,3962133,0.0
cfDNA,r:10035:10053:10133:`101,0,3962133,0.0
cfDNA,r:10035:10053:10133:`110,0,3962133,0.0
cfDNA,r:10035:10053:10133:`111,0,3962133,0.0
cfDNA,r:10035:10053:10140:`000,620,3962133,0.0001564813700095378
cfDNA,r:10035:10053:10140:`001,0,3962133,0.0
