strand,CpG_Coordinates,`000,`001,`010,`011,`100,`101,`110,`111,Sample_ID,Replicate,Tissue
r,10035:10071:10118,941,0,14,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10071:10121,893,0,14,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10071:10130,797,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10071:10133,764,32,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10071:10140,620,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10071:10146,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10071:10150,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10071:10159,364,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10071:10162,332,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10071:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10075:10081,1086,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10075:10088,1047,9,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10075:10096,1056,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10075:10102,1054,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10075:10109,1005,49,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10075:10111,1055,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10075:10118,955,0,0,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10075:10121,907,0,0,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10075:10130,797,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10075:10133,764,32,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10075:10140,620,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10075:10146,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10075:10150,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10075:10159,364,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10075:10162,332,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10075:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10081:10088,1047,9,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10081:10096,1056,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10081:10102,1054,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10081:10109,1005,49,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10081:10111,1055,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10081:10118,955,0,0,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10081:10121,907,0,0,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10081:10130,797,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10081:10133,764,32,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10081:10140,620,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10081:10146,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10081:10150,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10081:10159,364,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10081:10162,332,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10081:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10088:10096,1047,0,9,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10088:10102,1045,0,9,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10088:10109,996,49,9,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10088:10111,1046,0,9,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10088:10118,946,0,9,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10088:10121,898,0,9,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10088:10130,788,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10088:10133,755,32,9,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10088:10140,611,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10088:10146,441,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10088:10150,441,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10088:10159,355,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10088:10162,323,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10088:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10096:10102,1054,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10096:10109,1005,49,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10096:10111,1055,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10096:10118,955,0,0,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10096:10121,907,0,0,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10096:10130,797,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10096:10133,764,32,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10096:10140,620,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10096:10146,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10096:10150,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10096:10159,364,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10096:10162,332,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10096:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10102:10109,1003,49,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10102:10111,1053,0,0,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10102:10118,953,0,0,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10102:10121,905,0,0,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10102:10130,795,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10102:10133,762,32,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10102:10140,619,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10102:10146,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10102:10150,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10102:10159,364,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10102:10162,332,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10102:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10109:10111,1004,0,49,0,0,0,0,4,1,Rep2,cfDNA
r,10035:10109:10118,904,0,49,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10109:10121,877,0,30,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10109:10130,780,0,16,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10109:10133,747,32,16,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10109:10140,612,0,8,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10109:10146,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10109:10150,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10109:10159,364,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10109:10162,332,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10109:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10111:10118,955,0,0,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10111:10121,907,0,0,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10111:10130,797,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10111:10133,764,32,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10111:10140,620,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10111:10146,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10111:10150,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10111:10159,364,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10111:10162,332,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10111:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10118:10121,906,0,0,0,0,0,0,2,1,Rep2,cfDNA
r,10035:10118:10130,796,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10118:10133,763,32,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10118:10140,620,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10118:10146,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10118:10150,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10118:10159,364,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10118:10162,332,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10118:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10121:10130,794,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10121:10133,761,32,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10121:10140,619,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10121:10146,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10121:10150,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10121:10159,364,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10121:10162,332,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10121:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10130:10133,763,32,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10130:10140,620,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10130:10146,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10130:10150,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10130:10159,364,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10130:10162,332,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10130:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10133:10140,586,0,32,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10133:10146,417,0,32,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10133:10150,417,0,32,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10133:10159,331,0,32,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10133:10162,299,0,32,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10133:10179,61,0,32,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10140:10146,449,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10140:10150,449,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10140:10159,363,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10140:10162,331,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10140:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10146:10150,450,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10146:10159,364,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10146:10162,332,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10146:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10150:10159,364,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10150:10162,332,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10150:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10159:10162,329,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10159:10179,93,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10035:10162:10179,94,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10046:10053,1090,0,9,0,17,0,0,4,1,Rep2,cfDNA
r,10044:10046:10058,1070,20,9,0,17,0,0,4,1,Rep2,cfDNA
r,10044:10046:10071,1076,14,9,0,17,0,0,4,1,Rep2,cfDNA
r,10044:10046:10075,1090,0,9,0,17,0,0,4,1,Rep2,cfDNA
r,10044:10046:10081,1090,0,9,0,17,0,0,4,1,Rep2,cfDNA
r,10044:10046:10088,1060,0,0,9,17,0,0,4,1,Rep2,cfDNA
r,10044:10046:10096,1060,0,9,0,17,0,0,4,1,Rep2,cfDNA
r,10044:10046:10102,1058,0,9,0,17,0,0,4,1,Rep2,cfDNA
r,10044:10046:10109,1009,49,9,0,17,0,0,4,1,Rep2,cfDNA
r,10044:10046:10111,1059,0,9,0,17,0,0,4,1,Rep2,cfDNA
r,10044:10046:10118,959,0,9,0,17,0,0,2,1,Rep2,cfDNA
r,10044:10046:10121,911,0,9,0,17,0,0,2,1,Rep2,cfDNA
r,10044:10046:10130,800,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10046:10133,768,32,9,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10046:10140,625,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10046:10146,455,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10046:10150,455,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10046:10159,369,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10046:10162,337,0,9,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10046:10179,108,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10046:10184,10,1,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10053:10058,1080,20,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10053:10071,1086,14,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10053:10075,1100,0,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10053:10081,1100,0,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10053:10088,1061,9,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10053:10096,1070,0,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10053:10102,1068,0,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10053:10109,1019,49,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10053:10111,1069,0,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10053:10118,969,0,0,0,18,0,0,2,1,Rep2,cfDNA
r,10044:10053:10121,921,0,0,0,18,0,0,2,1,Rep2,cfDNA
r,10044:10053:10130,810,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10053:10133,778,32,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10053:10140,634,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10053:10146,464,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10053:10150,464,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10053:10159,378,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10053:10162,346,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10053:10179,108,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10053:10184,10,1,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10058:10071,1080,0,6,14,18,0,0,4,1,Rep2,cfDNA
r,10044:10058:10075,1080,0,20,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10058:10081,1080,0,20,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10058:10088,1041,9,20,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10058:10096,1050,0,20,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10058:10102,1048,0,20,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10058:10109,1013,35,6,14,18,0,0,4,1,Rep2,cfDNA
r,10044:10058:10111,1049,0,20,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10058:10118,949,0,20,0,18,0,0,2,1,Rep2,cfDNA
r,10044:10058:10121,901,0,20,0,18,0,0,2,1,Rep2,cfDNA
r,10044:10058:10130,804,0,6,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10058:10133,772,32,6,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10058:10140,628,0,6,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10058:10146,458,0,6,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10058:10150,458,0,6,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10058:10159,375,0,3,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10058:10162,343,0,3,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10058:10179,105,0,3,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10058:10184,10,1,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10071:10075,1086,0,14,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10071:10081,1086,0,14,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10071:10088,1047,9,14,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10071:10096,1056,0,14,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10071:10102,1054,0,14,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10071:10109,1019,35,0,14,18,0,0,4,1,Rep2,cfDNA
r,10044:10071:10111,1055,0,14,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10071:10118,955,0,14,0,18,0,0,2,1,Rep2,cfDNA
r,10044:10071:10121,907,0,14,0,18,0,0,2,1,Rep2,cfDNA
r,10044:10071:10130,810,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10071:10133,778,32,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10071:10140,634,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10071:10146,464,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10071:10150,464,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10071:10159,378,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10071:10162,346,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10071:10179,108,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10071:10184,10,1,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10075:10081,1100,0,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10075:10088,1061,9,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10075:10096,1070,0,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10075:10102,1068,0,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10075:10109,1019,49,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10075:10111,1069,0,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10075:10118,969,0,0,0,18,0,0,2,1,Rep2,cfDNA
r,10044:10075:10121,921,0,0,0,18,0,0,2,1,Rep2,cfDNA
r,10044:10075:10130,810,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10075:10133,778,32,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10075:10140,634,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10075:10146,464,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10075:10150,464,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10075:10159,378,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10075:10162,346,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10075:10179,108,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10075:10184,10,1,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10081:10088,1061,9,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10081:10096,1070,0,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10081:10102,1068,0,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10081:10109,1019,49,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10081:10111,1069,0,0,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10081:10118,969,0,0,0,18,0,0,2,1,Rep2,cfDNA
r,10044:10081:10121,921,0,0,0,18,0,0,2,1,Rep2,cfDNA
r,10044:10081:10130,810,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10081:10133,778,32,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10081:10140,634,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10081:10146,464,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10081:10150,464,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10081:10159,378,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10081:10162,346,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10081:10179,108,0,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10081:10184,10,1,0,0,0,0,0,0,1,Rep2,cfDNA
r,10044:10088:10096,1061,0,9,0,18,0,0,4,1,Rep2,cfDNA
r,10044:10088:10102,1059,0,9,0,18,0,0,4,1,Rep2,cfDNA
